Title,Review,Rating Score
Rubbish,Wondering how the overall rating was 7.4 when all the reviews I see are below 3?!! Waisted an hour watching this awful drivel. Enough said.,
Readers are missing some points,"I am well aware of Quinn's Bridgerton series, but people are not focusing enough on things such as directing, plot, acting, etc. Who cares if there weren't black aristocrats? This point keeps dragging and it's honestly quite pointless. Quinn herself expected a very inclusive cast and a re-interpretation of the series. Stop wasting your energy in worrying about ""pc culture."" Have some imagination.Now, the plot is predictable for a novel series like this. I chose to watch it with my mother and it was enjoyable like an afternoon conversation with friends. Nothing deep really, lack of subtlety. But that doesn't have to be a bad thing. People often forget who are watching series and films, forgetting that some may not understand the undertones of a message. Bridgerton's lack of subtlety is beneficial for them, for my mother who doesn't understand English aristocracy because of our background. She loved the series.It is a VERY colorful setting. Wonderful clothes and scenery. There is a lot of individuality represented through that. Some characters certainly felt re-interpreted from the original material. For example, I hadn't imagined anyone with particularly loud personalities, mainly in presentation. The series provides this. Admittedly, Daphne was an absolute bore many times. I was not passionate about Thompson. So basically, some characters were louder, some were more tame when compared to the original. At times I welcomed the change, but not every time.Anyway, I look forward to the progress of this series. I also look forward to people relaxing a bit and trying to understand that media enjoyment is different for others. Literature majors may scurry away from the predictable and superficial, but (for example) someone whose main language isn't English and has always lived in a low-middle class neighborhood may feel welcomed into a different culture and may start a learning opportunity. It's not about absolute accuracy, it's about captivating our attention at first sometimes.Oh and also, I don't think the subtitles in Spanish are the best. There are words that change tone when translated. I listened as I read the subtitles. I had to re-translate a few times so my mother.",7
Thoroughly Enjoyed it!!,"Knowing nothing about the books or what to expect from the show, I gotta admit that the diversity threw me in the beginning. By the second episode, I became colorblind and grew completely enchanted by it all that I didn't want it to end.
Although I loved it, to be quite frank, in a way it made me sad. All the diversity.. well, it made me see how the world COULD have been and needs to be.
I eagerly await the second season!",9
"A long time fan of the books, and a fan of the show","I first read the books years ago and this adaption has done it justice. Perfectly cast. The people obsessed with the ""diversity"" should know that this isn't a factual historical show, but a version of Georgian history that lives in the minds of all of us who love this type of thing and really need to get over it. They also didnt play string quartet versions of ""bad guys"" or ""thank u next"" back in the early 1800s. Basically, it's what I've dreamed of and waited for!Adore that they've kept the main storylines but complement them with lines that add, rather than subtract to the main line.Thank you Shondaland!",10
"Loved it 7/10, Season 2 is better than season 1. Better acting, better storyline. Not too much sex and not too much overacting. The right balance is in season 2.","March 2022: season 2 is better, the acting is so much better and the storyline as well. The actor who plays Anthony (Jonathan Bailey, he deserves bigger on-screen roles) is an outstanding actor. Skip season 1, only watch season 2. This season has the right balance of drama, laughter, character development, and build up. Season 1 was too much s*x, season 2 is good and not too much s*x. Season 1 is worth max a 6 because of the bad acting. Season 2 is worth a 7.5/10. The chemistry that Anthony and Kate had in Season 2 was amazing 😍, I didn't feel that with Daphne + Simon something was off (without the intimacy that was scripted/coached they looked like friends).The actor that plays Anthony carries his role well, he's through and through Anthony Bridgerton and a hunk (he has no sideburns in season 2, so much better) . Jonathan Bailey deserves to be on the big screens now. Such a diverse actor that can take on any role. He's very good with his face at expressing emotion.Can't wait to see Anthony + Kate in the upcoming seasons helping the other Bridgerton siblings. They confirmed that they will stay.December 2020: Phoebe Dynevor (Daphne) deserves more recognition. She carried season 1 and it was mostly shown through her gaze (the female gaze). No wonder most women are having the hots for Simon (Page is such a bad actor, who is overrated and who looks too feminine). Now he's leaving the show what an ungrateful actor. + In the voice of Lady Whistledown: Rumour has it that Page is closeted, has a beard and is not speaking his truth.On a positive note, I loved the diversity in the show. Truly amazing how they not only chose white characters to be represented as the rich in society but a diversity of people with different skin colours. Just like it is nowadays.Anyone who critiques this period piece, needs to do some research, this show was made by a producer that is renowned to cast a diverse cast. This tv show is fiction and a new period piece on it's own. It's a modern makeover of the Regency period drama and therefore more relatable. Also, stop bullying the fact that a variety of people with different skin colours are represented in the show. Those people lack imagination.",
"Started strong, writers bungle season 2","I loved season one. Watched it twice in a row I loved it so much. Thought they did a great job and actually improved on the book. Season two, unfortunately, did not. Kate and Anthony's story is by far the best of the novels - the main reason being because it is FUNNY! I was looking forward to season two the most because of this, and while I don't mind the overall massive rewrite and plot changes they added, the writers didn't include any of the funny bits that make this book enjoyable and endearing. (And what a missed opportunity for character growth on the practically non-existent library storm scene!) The show on its own is very well done and the acting is excellent, I just hate when screen writers of book adaptations try to ""beef up"" the drama and, in so doing, remove all the goodness that made romance readers fall in love with the story in the first place.",9
Season 2: A dull remake of Season 1,"The costumes, settings, music are all beautiful, but we've seen them before. This season lacks the substance and intrigue that led so many to bingewatch the first. A gaping hole is left with the resolution of Simon and Daphne's romance. The love triangle between Anthony, Kate and Edwina feels forced, with none of the actors particularly charismatic. The heightened focus on Eloise is detrimental, with the actress' eyerolls, overreaction, and unrealistic conduct reminiscent of Anna Chlumsky as Vivian in Inventing Anna. The other subplots are so redundant that they could have been crafted from film left on the editing floor in Season 1 and weren't enthralling on the first go-round (e.g., Penelope's unrequited infatuation with Colin).My rating of 6 is the average of a 7 for Season 1 and a 5 for Season 2.",6
Do not listen to 1star reviews - I am delighted I did not,"Is it entertaining? Yes. Do I expect from fantasy to give me accurate descriptions of the world? No. It is fantasy dear viewer. I am actually disappointed at the reviews, since I am quite convinced people genuinely lack an understanding of the word fantasy. It is scary out there. I expected something light and lovely and with the exception of some scenes it was highly entertaining. Some viewers will deceive you into thinking you must bring reality into fantasy. Since when? Is it revolutionary? No. But it is a piece of heaven and hard work. And it shows.",10
"Season 3 nowhere near as good as 1,2","I enjoyed the first season, I loved the second season even more, third season was kind of boring, it go so boring I just read while it was running in the background.I give Season One a 9. Season Two a 10 and Season Three like a 6.5 and I don't think the rest of the seaon will change my mind the way things are going.The only thing that kept me interested was the delightfully subdued interactions between Francesca and John. I really enjoyed how their romance was so much different than the others, and not just a repeat of the same. I could see the chemistry in their interactions and how their love languages were so different to those around them, really refreshing.As for the main story between Colin and Pen, BORING. It was like bad fan fiction. It was like there was no character development. I felt no chemistry between the actors. It was like they were just going through the motions to follow out a set outcome, and then they are just having sex in a carriage which would be scandalous for such a young woman.I don't know what will happen in the rest of the season, but I seriously don't know how Colin could get over the utter betrayal of Pen being LW. It would be fan fiction bad writing to try and get out of that. If Pen gets found out for being a total life-destroying gossip who makes money of other people's suffering, and she gets a happy ending? I really don't know how it works out in the books, but this pushes my suspension of disbelief too far.",7
Brilliant adaptation with a modern twist.,"Ever since hearing this was going to be made into a series I have been anxiously awaiting it. This series has gone beyond my expectations. I love the costumes, the pageantry, and above all the cast. Each character is very well represented by the actor/actress portraying them. I love the addition of a diverse cast. It in no way detracts from the story and makes it a beautiful representation of today's society.
I was nervous at first that the move to the big screen would not carry over the beauty of the story but I am happy to say that I am in no way disappointed. This is a great series and I highly recommend it to everyone loved the books or just loved a great romance.",10
"Season 2 - Watered down colors, story, music","Last season was fun fun fun, with Episode 6 all sex, but that's another story.This season, it's full of older men vying to marry girls who have barely turned 18.Also this season, (I'm on Episode 4) it's all watery colors, music and weak story. Nothing is really fun, except for Queen Charlotte, of course. And Penelope. She's still a pip.Where's the vibrance and verb and fun? It's gone.Another Season 2 where it seems that all the good writers have been dumped and replaced by ersatz staff.",6
Review only for season 2,"Season 1 was great.Season 2 is as follows: I love you, I hate you, you love me, you hate me, we can't be together, we must be together, we love each other but can't be together, let's get married, let's not get married, it's your fault I love you.... no joke 8 episodes of that lol.",5
The Pits,Take my word for it and just don't bother with this awful show. Incredibly bad is the verdict. Tried to like it but failed. Couldn't even get through the first episode. Ugh!,
To those with no imagination,"The fact that most of the low reviews are for the ""historical inaccuracy"" it is so beyond laughable. To compare this show to a historically accurate drama would the equivalent of saying that the Lord of the Rings is a documentary . One can not fathom the ineptitude of you withering minds. Of course your comatose racism has been jolted awake in your zealous defence of history and accuracy. Ha I say to you ha! History for the most is made of fantastical manipulations by hose who concurred and won the wars. But I digress since that is besides the point. The point is, this is fantasy . It is a genre. Google it.",10
Charming!,"Facing a Christmas Day at home alone this splendid release was perfection.
I'm halfway through and I'm in love with Simon the very handsome darcyesque Duke, and the lovely Daphne and the Jo March frustrated Eloise. It is gorgeous to look at. It is witty and warm and faithful to the romantic ( or even erotic ) literature it is based on. The hand touch between Simon and Daphne is far more sensual than anything written or portrayed in Fifty Shades. Just luscious !",8
"Pretty, fun and thin","Fun for those who enjoy the frothy visual thrust, light story and modern casual take on costume drama. It's a trashy soap opera in a dream version of Regency. I do like the diversity in casting and experimentation in costume. Casting is strong. However I can't seem to appreciate this production as much as I wanted. I find the direction and delivery of lines tends to self conscious, loud, stagey and over the top. Also the soundtrack is the same thing again and again, pizzicato strings, not creative, boring that flattens depth of emotion or drama. Otherwise a heady trip with lots of short scenes whipping from one character to another. It's good, just not totally my cuppa. A pleasant pretty distraction.",6
Season 2 puts content over nudity,"I am writing this review after having watched the series, followed by reading the book ""The Viscount who loved me"". This season has offended many ardent book fans and I can see why. The Kate Sheffield of the book and the Kate Sharma of the series are two entirely different people. The book was written primarily for female audience. Therefore Kate Sheffield appears to be similar to reader-favourite Elizabeth Bennet- a witty girl next door with some severe insecurities. And she has her feet swept away by the deveilish playboy of the 'ton' i.e. Anthony Bridgerton. Even though he is shown to have physically attracted to her, he always remains in control of the situation- in a way guiding Kate to a whirlwind of challenges and then confusing her feelings.The series however was clear about its narrative character, i.e. Bridgerton. Hence Kate Sharma was written for the male audience. It takes a lot more than intelligence to impress a man. Men adore bravery, independence, free spirit and a great deal of selflessness. The charismatic Kate Sharma hence knows how to ride a horse, goes on hunting, remains undeterred by Anthony's or any man's advances, acts completely selfless to the point that she is willing to walk away after leaving her family with Sheffield money. She therefore makes Anthony crazy, as he finds absolutely no control over her. She pushes him to his extremes. When they speak its not just a witty banter, its a display of their strong character arcs. Kate Sharma is far more of a ""tough cookie"" than in the books. This is why its Anthony who feels swept away by the woman. He tries his best to get rid of his desire for her but she continues to make it harder, by doing , well, nothing. Yeah, its weird. While Anthony takes pride in confusing a woman in order to seduce her, he is maddened that he is unable to do that to Kate Sharma. He is unable to break her to the point until he finally breaks and admits that he loves her. He is forced to do so by his own feelings, as he grows into acknowledging that what he feels for Kate is far more than desire.The 2 stars that I have deducted is for the almost dragging subplots of Eloise and Penelope. Even if I forgive Penelope storyline, Eloise perhaps became way more one-dimensional in the 2nd season. That is my opinion.Nudity in this season was toned down to almost PG13 level because the content was stronger. Afterall its about a man growing out of his fear for true love and settling down with his muse. The target male audience perhaps appreciates less such scenes and more of the actual adrenaline rush.",8
"Season 1 absolutely fantastic, Season 2 lacks sparkle!","Season 1 was exciting, brilliantly written and its acting was very well executed. Season 2 lacks the drama that was captivated in Season 1. Season 2 did not completely win me over: The plot was poor and it dragged out two characters' love for each other without drama or sparkle. While it is nice to expand other characters in the plot, I was expecting so much more, I only hope the writers will redeem themselves in future seasons.",7
Gossip Girl Meets Pride and Prejudice,"I never read the books so I can't compare. I had no idea what this show was all about but I definitely heard the controversy with having POC in it.I really can't imagine a woman alive seeing that unbelievably handsome man who played Simon and not falling in love with him.The show was sappy and soap opera-ish but entertaining nonetheless.I laughed. I cried. I fell in love.There are definitely faults to this show with many characters but it's charming and I enjoyed it anyway.Daphn was a bit too ""Kiera Knightly"" for my tastes, but she was cute.Anthony was one of my least favorite characters as he was joyless and just boring.Eloise was charming and very Jo March-ish, which I liked.Simon was so handsome and Mr Darcy-ish, I couldn't help but love him.I wondered if Dan Humphries would make an appearance as Lady Whistledown (lmao)I'm glad they revealed her in the end rather than make us wait (if there even is a second season).I'd like to see Penelope get a happy ending.
Also, I'm curious who inherited the Featherington home (if they told us I missed it).I hope Will (the fighter) was not hurt due to the Featherington bet.Overall, I was entertained (which is the point I believe). I will definitely tune in for a second season.Sometimes you just have to put reality out of your mind and take things for what they are. It's just fiction. Don't take it too seriously.",8
Season 2,Unfortunately I did not like season 2 as much as I loved season 1. I found it boring and the story line wasn't great either. I hope they will change this on season 3.,6
Regency escapism,"The sets, the costumes, and the cast make this regency romance sparkle.",9
Sumptuous Regency Series,"You can rely on Netflix to splash the cash when it comes to a series of this kind, and Bridgerton doesn't disappoint with beautiful houses, lavish parties and exquisite clothes. I found myself suppressing a laugh at some of the men's hairstyles which made them look like 1950's Teddy boys, which I am sure was not intended.
It's a handsome series - the Bath settings are thoughtfully and artfully reproduced, and the plot is better than average with a whole string of Bridgerton siblings needed to be married off. Everybody seems to happily live with what seems like the double standards of the era, and Julie Andrews' Lady Whistledown is a plot masterstroke.
I am really enjoying it, even if it seems to veer between Mrs Gaskell, Jane Austen and Jilly Cooper. It is very good entertainment and I am looking forward to a second season.",7
All the glitters are not gold,"This is the 3rd season of Bridgertons and I'm tired. New shiny costumes, elaborate sets, pretty ppl, soothing music, that's about it for this show. The only book i liked from the series was book 2 and that was unnecessarily butchered in the name of drama in season 2.I am not much for historical accuracy as I don't have vast knowledge on British History, but i do care for a bit of logic, a bit of beautiful performances and a bit of beautiful making. But this show has already exhausted all of their resources and at this point everything looks like it was a chore to be done.I am glad Nicola aka Penelope got her story for season 3 but boy was it felt so tiring to watch her going to a ball to just end up crying every single time. The writers were just going in a cycle of dress up - ball- cry - outing - dress up - ball - cry - outing. I think 3 episodes should have been enough to wrap this whole thing up.And don't get me started on Luke aka Colin. I have never felt such second hand embarrassment for any lead like i felt for him. The wooden performance with one facial expression just shows getting physically attractive can not save an underwhelming performance. Especially beside Jonathan and the other Luke, who tend to steal the scene anytime they are in it, just like Claudia. In theory the makers are telling u Colin is now a suave sexy charming fella but on screen he came across confused little boy, reading dialogues from the teleprompter and delivering them without much conviction.I don't know why i keep torturing myself by watching these shows, this can't be even passed as a time pass. The makers have budgets, why not invest in good writers and good storytelling? Even the good actors seemed like they were in the show to play dress up only and delivered half hearted performances. My expectations for season 4 is wayyyyyyyy below 0.",5
Ignore the poor reviews grab the popcorn switch off brain and enjoy,Ok so its not inline with history so what just give it a try .My guess the poor reviews are from those who just watched one episode and sadly have zero imagination.,10
Joyful fun,"Such a fun and joyful experience to watch. Love the casting, truly some of the dreamiest actors around!",10
loved it,"I absolutely loved it..
it's classic and romantic and enchanting.. love the cast.
it's perfect for everyone who loves the old classics.",7
Really love this series,"Its a great series. Not supposed to be the books, but a different version inspired by them. I like the diverse cast and the amazing costumes. I've been a Julia Quinn fan since she started writing and I think this series does the Bridgerton books proud.",10
Are there an decent American screenwriters left,"Can't understand the entertainment value Americans get out of bad scriptwriting for shows that take place in Europe. This is on par with Emily in Paris, complete crap and forgettable.",
Season Two was a Letdown,"I really enjoyed Season One despite some repetitive sex scenes but Season Two was a slog. Eventually I started to ask myself how many more episodes to go? There was much to like except for the boring love story that dragged on and on, only to end up in a few minutes at the very end when rather suddenly all was well and good in the world. Whatever. I won't watch this again, and I've watched Season One several times.",6
Season 2 - not as good as season 1,"As much as I enjoyed season 2, there wasn't enough of Anthony and Kate's story. I get that the stories of the other characters need to be fleshed out some, but there's a whole part of the story in the book that relates to the time after they're married that is juicy and got completely ignored. The actors have great chemistry, it would have been nice to see more of it.",8
Season 1-10/10......Season 2 - 5/10,"I've watched season 1 a month or two ago just before Season 2, and from curiosity I've decided even to read the books (in my opinion the worst books ever). And I was astonished how all those actors and producers and writers could pull up such a piece from such shallow and lusty story (I mean the book), and above all that that actor, with a stunning performance - With all my respects to all the cast and crew to Bridgerton , you did an amazing job and bring joy and delight in our lives with Season 1, but Mr. Regé-Jean Page just made the entire season so attractive and magnetic - he just stole the show from the first ride.Season 2: I personally vote 5 - for the amazing play of Mr. Jonathan Bailey, but even he couldn't pull the whole thing, and somehow the whole piece was looking like a patchwork, even though in my personal opinion -I know there are a lot of fans here of the books - the second book is even worse than the first one, and could maybe make the writer's job a bit harder.My Admirations to all the crew - the costumes, the light, scenography, sound...for both seasons was that good.",6
Money's worth!,"Full marks to the cast and crew to bring our beloved characters to life from the page! Though there are some major diversions from the books, the stories of all main characters remain essentially the same. It does give us readers something different to look forward to, some surprises!Absolutely loved the cast. They are inch perfect. Acting is stellar and I had no trouble imagining them to be exactly who they portray! Thanks for bringing the Bridgertons to life, all of you. Looking forward to season 2 already!",10
I watched only season 2 and I didn't regret it.,Wow 😮 Jonathan Bailey and Ashley Simone (Kantony) had amazing chemistry. I only watched season 2 as I love slow burn romance! Recommend it to anyone that does too!,7
Not even 1 episode,"Please be accurate to the era at least if you're going to have a period drama, I'll never get back that time. People raved about the series but I really didn't see the appeal.",1
Excellent show!,"Another Shonda Rhimes hit! Loved it!For those low ratings, don't listen. If you read the comments, they all have the same theme, ""divers."" Not sure what divers have to do with the show but...oh well!I enjoyed the diverse cast :)",10
I loved it!,"I haven't read the book, didn't even know there was one, so i had no expectations of this show.
I don't understand the many giving it low rating at all.
It's a fantasy show, i dont need it to be accurate, i need it to be entertaining and it absolutely was!
Great costumes, humorous storyline, the chemistry and mystery i was enthralled. Can't wait for more!",9
Pointless!,"Wash, rinse repeat, same stuff over and over, even the Wisteria stays the same. Never any rain, do Americans not know about our climate?. Pretty sure I have never seen anybody here in little puffed sleeves surrounded by daffodils. There is no depth to anything, but then how could there be when the characters just swan around in their finery, ball to soirée, drinking tea and gossiping. What is the point to any of it?",
Research could have been better,"They bring in Indian element in the 2nd season. However, research was half baked. Sharma is a North Indian last name. Also, the ""ladies"" refer to their dead father as ""Appa""! No one, but no one says ""Appa"" from Maharashtra onwards. The writers and researchers seem to have gotten that confused, I believe. To get that wrong, in today's day and age, makes me give it 2 stars less.Apart from that, I have yet to find something that I don't like in there!",6
Shonda Rhymes meets Downton Abbey,"I binged the entire season right after it dropped! Like JQ's well-written books, I couldn't put it down!!",10
Season 2,"You were thinking to yourself ""I'd like to see Season 1 of Bridgerton with the exact same story but with two different leads, and less sex,"" then Season 2 is for you!",7
It's Regency Romance Trash - what's not to like??,"I read all the books when they came out years ago. I re-read all of them before Season 1 dropped. The amount of hate this show has gotten in these reviews really confuses me:""It doesn't follow the book at all"" - duh - it's an adaptation of a book - things HAVE TO CHANGE for adaptations for various reasons - and most of the changes I understood why they made them, creates more drama and distinct characters.""It's not accurate to British regency era"" - duh - it's a fictional romance novel written by an American and it's not supposed to be based on fact. What about the trailer made you think so? They had pop music playing during a formal dance scene...It's like these people haven't ever seen Grey's Anatomy, Gossip Girl, the Bachelor etc - it's not supposed to be based in reality - it's a popcorn movie. Mindless entertainment.Also I have noticed that the ""most helpful"" reviews are those that are lower ratings and those with positive reviews are marked as ""not helpful"" - not suspicious at all...Can't wait to see my review get marked down as well :)I throughly enjoyed my binge watch - this series is not perfect by any means - sometimes the dialogue dragged, the main character - Daphne - isn't as developed as she could've been, etc - but the costumes/sets were great. The drama was there. I was entertained and will probably re-watch soon.",8
