Title,Review,Rating Score
A Hollow Earth For A Hollow Film,"Godzilla x Kong is undeniably vacuous and as hollow as the imaginary world it portrays. It's essentially a very forgettable monster mashup that aims for the heights of the epic and terrifying; but instead serves an OTT nonstop chest-beating slugfest, smothered in tawdry CGI. It's overpowered monster WWE seemingly presented as something the filmmakers *believe* or estimate an audience will like; as if it were the product of a soulless spreadsheet.These tired titans of bygone cinema have been pulled back into the limelight as the viewer suffers a nowhere-plot aimed at the lowest common denominator. The Kaiju terror is here, but in a very watered-down state.No dialogue because it's just senseless roaring beasts? Don't need to pay anyone to write a good script. Excessive closeups of the beasts all the time? Well that handily means they didn't need to animate higher-budget complex scenes from a more interesting POV. Sensory overload to distract the viewer from the complete lack of actual substance? Check. The corner-cutting is so apparent the more you look; the buck is passed onto the consumers who continue to accept this poor standard of filmmaking time and time again.4/10.",4
Pepto Bismal X Primal Thanos VS. Donkey Kong with a chain X Sub-Zero,"Wow, just wow. Now the thing is, the reason I am saying wow, is for a few big reasons that can probably relate to a lot of regular humans like me because I am most definitely human and not Godzilla trying to promote his own film. The reasons being; CGI, Big monster go rahh, and epic battle scenes. Anything else is boring and I frankly could care less about in this film because it affects nothing and all I care about are the things that THE FILM IS ACTUALLY ABOUT (humans).First, I wanna start off by saying that comparing this film's CGI to Godzilla Minus One (greatest Godzilla film that actually made me care about humans), budget wise, is like an insult. GMO had a budget near abouuuut 20 million or so, while GXK had 10x the budget. GMO managed to achieve winning an Oscar with 100x less visual art employees and having the best and probably the most realistic large scale CGI I've seen ever. BUT, the CGI even with such a smaller film beating it, is still excellent as always and doesn't look like some PS5 game that was reprogrammed to run on a Nintendo Switch, unlike other films. It has definitely been one of the consecutive aspects of the MonsterVerse.Monsters; I'm a sucker for Godzilla, not so much Kong, but this version of him definitely catches my eye. Godzilla and Shimo were what really brought this film together, and the funny thing is, before I saw Godzilla with pink atomic breath, it was my most disliked color, but on him, it's my preferred look for him. I also already loved cold related things so a big beast like Shimo definitely made me see this film.Battle Scenes. Now I know, I know, not all Godzilla films can entirely be epic fight scenes, I'M JUST SAYING, I wish they were longer. They are definitely what everyone, including me, came to see, and I am beyond glad with the outcome of the film, that I totally didn't see coming (that's sarcasm), and I actually would love to see more of the franchise, whatever it may be. Also to anyone who disliked the movement speed of Godzilla, watch literally any dated Godzilla film.In summary, I love Godzilla, Dune Part Two and GMO still beat it by an inconceivable number, but if you like big monsters or just Godzilla in General, watch this, maybe watch it again, or just watch the fight scene clips.",7
The Best Addition to the Monsterverse so far,"Let's be honest. I went in expecting this movie to be dumb, but pretty entertaining. Just an average blockbuster. Fortunately, this time it was so entertaining that you can ignore the dumb parts.And of course, it's not an ambitious movie, there's a lot of cliche, oversimplification etc., but I still expected worse. Most of the time humans are not acting like idiots, their crazy ideas are pretty convincing within this world and the whole cast does a great job keeping us entertained. Relations between our human characters work pretty well.There's a lot of worldbuilding here, successfull one in my opinion. Ancient civilization, prophecies, stories written on walls, some scores to even. The Hollow Earth looks great, you can see how this whole ecosystems works with its own rules.And finally, Titans. CGI is really good, fight scenes don't disappoint and, the most important thing, monsters act like they should act. There's startegy, there's a lot of preparing, but also there's hierarchy, decisions made out of fear and fights for territory. Writers managed to make the Titans seem humane while also staying within their animal nature. The outcome of that is convincing, at least for me.Some people might have a problem with the fact that most of this movie is basically assembilng the team for the final battle, but I think this time Monsterverse used a cliche in pretty much the best way possible.In the end, Godzilla x Kong is a satisfying and engaging blockbuster as well as great addition to the franchise. I wonder, how are they gonna beat that in the next one...",7
Fun and trash,"Look, nobody is watching these movies because they want water tight plots and engaging human stories. We're here because we want to see giant things smashing stuff up.Movies like this are like a Big Mac. It's not real food but it has its place.It is a whole load of silly, loud, goofy fun.The opening of this movie sees Kong luring a pack of giant hollow earth hyena things into a complex mechanical trap. He then takes a shower after covering himself in the blood of one of those giant hyena things having torn it in half whilst letting out a trademark intimidating roar.The first human moment sees Jia (the small girl from versus) having some psychic visions.It is that ridiculous.There was a ""surprise"" death that was possibly the most telegraphed in history and a scene where a monarch monitoring station, in hollow earth, has been destroyed. (Remember that hollow earth is huge, mostly uncharted and full of giant monsters) and the question is asked ""What could have done this?""
Giant mechanical arm ex machina. Loads of explanation for stuff we didn't ought to have figured out. Magic mind control. Magic gravity control.There's a kind of anti gravity fight which is pretty decent and scenes of our favourite titans on Rio beach, Giza and even having a nap in Rome's Colloseum.Honestly it's ridiculous. Ridiculous and very enjoyable.",6
When you want the human cast to die,"More than the enemy monsters. They really added nothing to the film. Except annoyance dumb rehashed mcu jokes, not even remotely amusing. Not even in the same league as the masterpiece like Godzilla minus 1. This will be my last one of these types of Godzilla movies they toss out tripe like this on a regular basis like EA churns out GaaS games that ultimately get shut down within a year. Why because they are poop. The Cranston one was good, then the Farminga one wasn't bad, though the milly brown family aspect made it cringe. Soon as we got to the ones with ms hall and skarsgard they went down the pan and in the gutter. All flashy bright colors felt like we were watching iron man. Such a shame because Godzilla Kong and the creatures really tried to carry the human cast. But every scene these collection of humans were in we wanted them to meet a grizzly end. Such a farcry from Godzilla Minus 1 directed by Takashi Yamazaki.",4
Great representation of Showa Era!,"In ""Godzilla x Kong: The New Empire,"" the epic showdown between these two legendary titans feels like a nostalgic throwback to the classic Showa Era of Godzilla films, where the focus was on thrilling monster battles. The film doesn't disappoint in this aspect, as the fight sequences are incredibly well-executed and visually stunning, capturing the raw power and scale of these colossal creatures.What sets this film apart is its ability to balance the spectacle of the monster battles with a decent plot that keeps the audience invested. While it may not break new ground in terms of storytelling, the plot serves its purpose by providing enough context and stakes to drive the action forward. It effectively sets the stage for the epic clash between the monsters, making their confrontation feel earned and impactful.One of the standout aspects of the film is its breathtaking visual effects. The CGI is top-notch, seamlessly blending the massive creatures into their environments and delivering jaw-dropping action sequences that truly immerse the audience in the epic battle between the Titans. From the destruction of cityscapes to the intricate details of the monsters themselves, the VFX work is nothing short of astonishing.After watching ""Godzilla x Kong: The New Empire,"" I'm left wanting more. The film delivers on its promise of entertainment, offering a thrilling cinematic experience that leaves a lasting impression. I'm already looking forward to revisiting the movie and eagerly anticipating future installments that continue to deliver the same level of excitement and spectacle. Overall, ""Godzilla x Kong: The New Empire"" is a must-watch for fans of monster movies and anyone looking for an exhilarating ride at the movies.",10
Godsilly,"Absolute nonsense, and anyone who didn't like Godzilla vs. Kong will probably hate this. I enjoyed myself the same way I'd enjoy eating two bags of potato chips in one sitting. I'm feeling a bit empty and confused at why I did such a thing now it's over, but it was tasty junk at the time.I feel like Godzilla x Kong: The New Empire has the least dialogue out of any giant monster movie of the last decade or so, maybe longer. It keeps the human characters at a minimum, which is a double-edged sword. They're not as frequently annoying, but when you have a small cast of humans, the sense of danger dissipates, because no one is the kind of character that could die at any point before the very end (and even then). But all the scenes with the giant apes, with no dialogue? Good stuff. The humans are there to just explain stuff that doesn't really need to be explained. I almost wish this had been a silent movie.There's some good schlock here. I laughed a lot. There's a lot of action, maybe too much. It ends very suddenly, the two titular monsters take a while to meet up, and though I liked the main villain, he takes too long to be introduced. The narrative here is a mess, and it only gets by through having so many different creatures, fights, and ridiculous sci-fi concepts.Still, it's not the kind of kaiju movie where people will complain that ""there weren't enough monsters."" I feel like Godzilla x Kong provides plenty of dumb entertainment, ridiculous spectacle, and action to the point where watching it was never dull for a minute. I had fun, but looking back on it now, it does feel like the cinematic equivalent of (a lot of) empty calories.",7
What is happening,Huuuge Godzilla fan since early 80s...my 15 year old also loves these movies ...this looks like the budget version of the last one ...like it's so bad we were laughing out loud in theater ...like it's bad ...real bad compared to any of the other monster verse movies ...but it's ....entertaining with some cool stuff It....they could of left out all human dialogue and it would of been at least a star better ...they both expect you so have watched and memorized all the other movies and somehow at the same time act like they other movies almost didn't exist ...i have a feeling this might be the end of the monster verse and maybe they have something else in mind ..because this was not cooked all the way.....on any level.,5
Monsters can tell a story w/o human dialogue,"Godzilla and Kong: A New Empire is exactly what you are going to get. A movie about Kaiju finding their way in the world with the established notion of coexisting with humans on this planet! Here, hollow earth is vastly explored with great visuals and Kong delivers an exceptional performance! The fight sequences are to the point and give great depth to the brutality of the situation on earth. As a kaiju fan I could not ask for anything more than to see monsters go at it and save the planet. Such as any other monster movie people go see. Godzilla is true to form and is his usual reign of terror to other kaiju. The human provide the skeleton of the story but the monsters carry it! I had so much fun with this movie! No need to go with the expectation of cinematic dialogue and epic depth.Just sit back, relax and watch monsters do their thing!",9
Stupid popcorn movie but a lot of fun,"Ok, so Citizen Kane it is not.If you like big CGI monsters hitting each other for two hours, then look no further.If you liked the previous two Godzilla Kong movies then you will probably like this. Just check your brain in at the door before you do.The acting is patchy, Dan Steven's steals every scene he is in, and the little kid is annoying after a while.I was more shocked and surprised by the amount of people that the monsters would have killed by trashing Rio and Cairo.But trying to look for logic in a movie like this is pointless. Just sit back and enjoy the madness and then forget about it immediately after.",6
The plot stinks worse than Kong poo.,"When asked what his plan is, a character in Godzilla x Kong: The New Empire says 'throw everything at the wall and see what sticks'. Director Adam Wingard has adopted this approach when making this film, but on this occasion very little that is being randomly tossed about actually sticks. The smackdowns between the film's creatures are loud, frantic and reasonably fun, but the plot is a sloppy turd of Titan proportions -- a stinky, contrived, overblown mess brought to life in a maelstrom of not very convincing CGI.The script is absolutely terrible, and the majority of the film had me either scratching my head in confusion or laughing at its preposterousness. Kong being equipped with a metal fist is an undeniably cool idea, but the fact that the protagonists just happen to have such a device on hand in Hollow Earth is just crazy (especially one with built in anti-frostbite serum!). A vet who knows how to extract a Kong tooth also knows how to fly a Hollow Earth hover ship -- clearly a man of many talents. God only knows what the Iwi tribe were up to with their glowing pyramids. What was the deal with that glowing spike that nasty ape used to control the ice lizard? And why did everyone suddenly start floating around in Hollow Earth? (there might have been explanations for some of these points, but they became lost in all of the chaos).After Godzilla Minus One, I suggest leaving all future films featuring the big lizard to the Japanese.3.5/10, rounded down to 3 for Kaylee Hottle's perpetually anxious look -- doesn't the girl have any other expressions?",3
Truly mind damaging experience,"Something is very wrong with American film making for some time. Nothing makes sense here, intelligence of people is sharply underestimated (on the level of insult) and nothing really works with story. This last film about monsters shows that while it is trying to draw some long forgotten mythology that works worse than in most cartoons for children under 12. Human characters exist only to remind us of long forgotten cliches and definitely not of characters. Destroying the cultural and historical heritage of mankind is order of a day. And in all that there's nowhere in the site possibility of simple 'just sit back and enjoy the rid'. What an insulting mess of corporate idiocy... That beautiful queen under the surface and some fights do save this experience, but the whole thing is not worth the effort at all...",6
The MV Enters Its Late Showa Era,"PROS:
-This movie is a Saturday Morning Cartoon brought to life.-This is a 70's Showa Era Film with modern effects.-The Monsters are 100% the leads.-The Monster Brawls are absolutely nuts!-Godzilla vs. Kong Round 2 was fun.-The Entire 3rd Act is exactly what 5 year old would've loved.CONS:
-We are so far removed from the tone of 2014.-The pacing is all over the place.-The script was written with cocaine and mushrooms.-Every character is underdeveloped as is the plot.-There's no scale to any of the monster brawls.Like every iteration of Godzilla, it starts serious then slowly becomes a kid's franchise. Well, the Monsterverse is now officially a kid's franchise for better or worse. I say knowing full well that if I watched this as a kid it would've been the greatest movie ever. However, watching it as a 35 year old man, I can't ignore the flaws. This movie feels like a fever dream. There are some big crazy ideas here, but the movie doesn't hover over any of it. They throw so much at you so quickly that you have no time to absorb anything before the movie is moving on. The same goes for the characters, who exist to deliver exposition and that's it (a low-key waste of Rebecca Hall's talent). The Monsters are the opposite, they are the leads of the movie. This movie feels like Kong 3: The Hollow Earth War. There are long stretches where there's no dialogue and the story is being told through the expressions of the Monsters, and truthfully, it works. The Monster fights are meant to be seen on the big screen. Especially a battle that takes place in zero gravity. Seeing Godzilla and Kong properly team up is something my inner child needed to see. My theater cheered with joy as they charged into battle together. This is the kind of movie that the young fans will absolutely love and there's nothing wrong with that. I grew up on the Showa Era movies and that's exactly what this is. This is the kind of monster movie that creates the next generation of fans. With that in mind, this movie does its job. 6/10.",6
Felt like a Guardians movie....,"This is not your typical Monsterverse movie. My wife and I both agreed it was like watching a Guardians of the Galaxy movie. It was entertaining and the soundtrack will be pretty good. Anytime you put KISS into a soundtrack it will be good. I thought the monsters looked pretty good. The steroid Kong was pretty funny with his Thanos gauntlet. Kind of excited to see baby Kong going forward. Plus Godzilla's bed looks like my cat's bed. Funny to see him sleep where he does twice. Hopefully they can go back to a more Godzilla minus one type movie. If I had any advise to future viewers, see it during matinee times. Definitely not worth the full price.",7
I had low expectations and was disappointed,"I think I've been spoiled by the masterpiece that was Godzilla minus one. Going back to this ultra generic brainless 0 story nonsense is just disappointing. I don't expect a great story but the dialogue was so bad and the story so pointless I almost wanted the humans dead so I didn't have to listen to them. Several Uber generic rehashed MCU jokes that weren't even funny. I love Godzilla and the monster verse started off great with Brian Cranston and that first Godzilla film but since then it's just slowly gotten worse imo. Like I said, I knew this would be dumb and I went in with low expectations but left feeling almost insulted at how ridiculous and stupid it was. I hate to say it because I love the idea of Godzilla movies.",5
Not enough Godzilla but still a great popcorn movie,"You get what you paid for. Lots of CGI titans, going scene by scene, then culminating into a boffo end fight scene. I've read some write ups online stating ""there's too much CGI.."" The movie is centered around a fifty foot gorilla, a sixty foot lizard, and they are fighting other enormous titans in a world that does not exist. Great special effects, great action, and a it's paced well.Story? Don't fool yourself. The story is as thin as half of a single hair. You came for the fictional animals fighting. Not enough Godzilla. That was a shame. Go see this if you are a fan of dumb, popcorn films. Don't expect Othello.",9
Skar Tissue,"I was surprised about how uninteresting I found a large parts of what should be a big, dumb, fun Kaiju movie and certainly that wasn't what I felt about ""Godzilla vs. Kong"". In fairness it picked up towards the end though.A signal coming from somewhere within the Hollow Earth causes Godzilla to begin to strengthen himself for an upcoming battle. Within Hollow Earth, Kong unwitting reveals a deeper level, that was previously sealed off and within that level are other giant apes, ruled over by a tyrannical king Skar. Kong challenges Skar but is wounded in a losing effort. Desperate he heads to the surface to convince Godzilla to join him in the battle.That all sounds pretty exciting I know, but its all belaboured by a relatively boring middle section, that we spend with the human characters, exploring the Hollow Earth. The humans themselves are actually pretty good. Dan Stevens is great in everything and he's having a lot of fun here. He has good chemistry with lifelong friend Rebecca Hall and with Bryan Tyree Henry, both of whom are reprising their roles from ""Godzilla vs. Kong"". Still though their voyage through Hollow Earth is lacking in peril, or excitement. (Whilst we're here, the ""Monarch"" TV series established that time moves much slower in Hollow Earth than it does on the outside world - a fact that this film ignores entirely.)It does, as you might imagine, pick up for a zero gravity multi-Titan battle that takes place leading into the films climax. From that moment on I was engaged with the film and enjoyed it through to the ending.I don't know how helpful it is to compare this with ""Godzilla Minus One"" as despite sharing the same character, they have very different objectives in the stories they tell. But I did feel this was inferior to the last Monsterverse film and I'm not sure where I'd take the series from here.",6
Stay home and save your money,"The plot to Godzilla x Kong: New Empire is that below the Earth are face painted tribal people who use crystals to control gravity, and who are a looking for a psychic deaf girl because they need her to awaken a mother moth that shoots magical spider webs, in order to unite old man King Kong, his mini-me, and nuclear Godzilla, to stop a big red monkey with a bone bullwhip and an ice breathing lizard dog.It would have been better if this plot had been all monster and no humans, but like the rest of this universe its mostly humans who are dumb and unlikeable and stupid and in this one the humans are the most dumb and unlikeable and stupid than any of the previous films.All four prior films had some charm this one lacks. It's super dumb and not worth seeing in theaters. Just stay home and don't watch.",1
What a ride Strongest part in Monsterverse!,"I would not talk about this part of the Monsterverse, except that I remained fascinated by this sequel and the origin of the Hollow Earth. Kong is the character in this part exactly as he should be, a true leader who is ready to go to the end to save everyone he cares about. Is stopped, in the course of the film an inexplicable connection with Godzilla as well as with Mothra is born, which connects these two Alpha Titans in a unique way.Scar King is one of the strongest antagonists out of all the parts. Although the movie comes together, you haven't seen half of it, a merciless and terrible tyrant who stops at nothing for his throne! I won't say anything about Shimuo, one of the greatest A titans! This movie deserves everything recommendations and hopefully more parts in the future!",8
